,Company,Sub-Sector,MarketCap,CMP,PE,Ret_1M,Ret_6M,Ret_1Y,PB,ROE,ROCE
1,Reliance Industries Ltd,Oil & Gas - Refining & Marketing,2078452.47,"1,539.70",29.84,4.93,7.31,19.63,2.06,7.2,8.71
2,HDFC Bank Ltd,Private Banks,1536666.60,989.8,21.71,0.07,2.03,10.86,2.86,14.05,5.7
3,Bharti Airtel Ltd,Telecom Services,1290144.11,"2,161.60",38.45,5.78,17.01,36.92,8.41,25.91,18.53
4,Tata Consultancy Services Ltd,IT Services & Consulting,1136513.65,"3,119.20",23.41,2.19,-11.82,-27.71,11.87,51.9,62.59
5,ICICI Bank Ltd,Private Banks,977678.77,"1,357.80",19.16,-1.24,-7.04,4.37,2.97,17.04,7.24
6,State Bank of India,Public Banks,895923.74,983.6,11.55,6.8,23.82,16.48,1.77,16.58,5.63
7,Infosys Ltd,IT Services & Consulting,641728.51,"1,530.60",24.02,2.67,-3.16,-19,6.67,28.93,36.23
8,Bajaj Finance Ltd,Consumer Finance,617784.42,986.2,37.13,-8.64,6.39,47.52,6.24,18.95,5.18
9,Hindustan Unilever Ltd,FMCG - Household Products,569587.91,"2,414.10",53.49,-3.62,0.84,-2.32,11.48,21.08,23.39
10,Life Insurance Corporation Of India,Insurance,566118.92,897.65,11.72,0.75,3.17,-0.82,4.44,45.93,1
11,Larsen and Toubro Ltd,Construction & Engineering,552061.87,"3,996.70",36.71,2.6,9.54,6.49,4.78,13.8,18.91
12,ITC Ltd,FMCG - Tobacco,505598.29,400.8,14.55,-3.61,-9.51,-11.14,7.18,47.83,57
13,Maruti Suzuki India Ltd,Four Wheelers,501723.63,"15,889.00",34.6,-2.08,27.92,44.12,5.21,15.95,19.54
14,Mahindra and Mahindra Ltd,Four Wheelers,442913.08,"3,669.30",34.26,1.78,19.13,20.48,4.75,14.97,15.17
15,HCL Technologies Ltd,IT Services & Consulting,435695.38,"1,601.10",25.05,5.16,-4.33,-15.36,6.25,25.21,31.27
16,Sun Pharmaceutical Industries Ltd,Pharmaceuticals,427273.57,"1,776.80",39.1,4.27,6.01,-1.23,5.89,15.66,18.97
17,Kotak Mahindra Bank Ltd,Private Banks,415112.41,"2,069.90",18.76,-2.61,-0.93,15.59,2.64,15.39,7.51
18,Axis Bank Ltd,Private Banks,393856.97,"1,266.30",14.04,1.84,4.21,9.55,2.1,16.25,7.54
19,Titan Company Ltd,"Precious Metals, Jewellery & Watches",343667.95,"3,855.10",102.99,3.9,6.78,16.5,29.57,31.76,36.95
20,UltraTech Cement Ltd,Cement,340672.42,"11,580.00",56.41,-3.02,-0.93,1.07,4.61,9,9.06
21,Bajaj Finserv Ltd,Insurance,324250.92,"2,030.20",36.55,-6.16,-1.09,26.5,2.52,7.64,5.27
22,Adani Ports and Special Economic Zone Ltd,Ports,320975.05,"1,483.90",28.94,4.33,5.98,27.18,4.93,18.52,13.83
23,NTPC Ltd,Power Generation,313638.67,323.7,13.39,-5.19,-5.76,-12.13,1.64,13.15,10.77
24,Adani Enterprises Ltd,Commodities Trading,310140.37,"2,332.90",43.61,-1.37,-5.55,6.59,5.49,14.13,10.93
25,Oil and Natural Gas Corporation Ltd,Oil & Gas - Exploration & Production,309160.36,245.35,8.53,-3.86,-0.24,-4.87,0.83,9.87,11.45
26,Hindustan Aeronautics Ltd,Aerospace & Defense Equipments,297277.18,"4,441.60",35.54,-7.97,-11.22,3.54,8.5,26.09,17.51
27,Bharat Electronics Ltd,Electronic Equipments,295168.87,410.25,55.47,-4.04,6.68,40.33,14.76,29.29,33.75
28,Adani Power Ltd,Power Generation,280476.60,146.84,21.68,-13.04,31.44,64.38,4.85,25.59,20.42
29,Asian Paints Ltd,Paints,275993.84,"2,875.80",75.26,15.12,23.57,16.92,13.76,18.58,23.99
30,Eternal Ltd,Online Services,273875.88,302.3,519.69,-7.74,33.29,10.61,9.04,2.08,2.63
31,JSW Steel Ltd,Iron & Steel,270145.73,"1,112.00",77.1,-3.57,7.72,16.65,3.31,4.34,7.5
32,Avenue Supermarts Ltd,Retail - Department Stores,259479.81,"3,988.60",95.82,-5.59,-3.62,10.15,12.11,13.5,16.93
33,Wipro Ltd,IT Services & Consulting,258953.96,245.64,19.71,1.53,-1.84,-15.65,3.12,16.61,19.02
34,Power Grid Corporation of India Ltd,Power Transmission & Distribution,256510.65,273.45,16.53,-4.37,-7.84,-20.22,2.77,17.26,12.4
35,Bajaj Auto Ltd,Two Wheelers,251509.50,"9,048.00",34.34,-1.09,1,-3.96,7.15,22.84,24.96
36,Nestle India Ltd,FMCG - Foods,244741.65,"1,263.20",76.3,-1.23,2.95,11.94,61.03,87.27,59.3
37,Indian Oil Corporation Ltd,Oil & Gas - Refining & Marketing,233974.80,164.12,17.21,9.14,14.31,20.32,1.22,7.17,9.55
38,Coal India Ltd,Mining - Coal,229592.44,370.05,6.49,-5.56,-8.11,-11.35,2.3,38.53,24.71
39,Interglobe Aviation Ltd,Airlines,224434.88,"5,775.00",30.92,-0.15,6.55,36.06,23.96,127.74,15.58
40,Tata Steel Ltd,Iron & Steel,206427.68,166.33,60.35,-6.45,2.35,15.77,2.26,3.72,8.32
41,SBI Life Insurance Company Ltd,Insurance,202025.04,"2,031.00",83.71,6.46,12.73,35.83,11.89,15.13,0.6
42,Eicher Motors Ltd,Trucks & Buses,199100.10,"7,218.50",42.05,5.95,33,44.3,9.35,24.07,26.14
43,Vedanta Ltd,Metals - Diversified,193379.60,504.65,12.9,-0.74,13.26,13.71,3.6,31.28,29.11
44,Hindustan Zinc Ltd,Mining - Diversified,191829.48,462.6,18.53,-7.19,2.58,-7.2,14.4,72.6,62.89
45,Jio Financial Services Ltd,Consumer Finance,190498.95,300.8,118.13,-2.31,6.76,-6.95,1.54,1.23,1.48
46,Hyundai Motor India Ltd,Four Wheelers,187241.97,"2,300.80",33.2,1.34,21.78,24.14,11.49,41.84,40.99
47,DLF Ltd,Real Estate,177653.12,721.3,40.68,-7.48,-7.26,-12.39,4.18,10.66,5.74
48,LTIMindtree Ltd,IT Services & Consulting,175568.61,"5,833.00",38.18,6.55,14.11,-4.62,7.73,21.52,26.36
49,Hindalco Industries Ltd,Metals - Aluminium,173144.16,789.35,10.82,-6.44,19.34,19.63,1.4,13.92,12.96
50,Grasim Industries Ltd,Cement,170010.06,"2,686.80",45.88,-5.95,1.14,2.17,1.08,2.5,5.94
51,Divi's Laboratories Ltd,Labs & Life Sciences Services,168811.47,"6,412.00",77.05,-3.67,-4.82,4.46,11.28,15.35,18.87
52,Adani Green Energy Ltd,Renewable Energy,166265.96,"1,011.60",115.14,-1.52,-0.02,4.42,7.37,7.22,8.21
53,HDFC Life Insurance Company Ltd,Insurance,164235.06,766.55,90.7,3.63,-1.72,11.94,10.17,11.75,0.38
54,TVS Motor Company Ltd,Two Wheelers,163443.40,"3,447.80",73.11,-4.87,24.16,40.25,17.31,26.37,22.99
55,Bharat Petroleum Corporation Ltd,Oil & Gas - Refining & Marketing,156034.35,355.85,11.7,8.17,10.19,20,1.92,16.99,17.05
56,Shriram Finance Ltd,Consumer Finance,155807.62,838.25,16.31,14.8,26.15,42.18,2.76,18,4.35
57,Trent Ltd,Retail - Apparel,153247.09,"4,243.90",99.08,-10.39,-23.2,-37.36,27.45,31.94,30.1
58,Indian Railway Finance Corp Ltd,Specialized Finance,152770.84,116.74,23.5,-5.93,-16.72,-20.21,2.9,12.77,1.4
59,Varun Beverages Ltd,Soft Drinks,150870.52,449.05,58.15,-3.72,-6.97,-25.3,9.01,21.78,21.05
60,Pidilite Industries Ltd,Diversified Chemicals,148891.56,"1,466.60",71.71,-3.05,-3.68,-1.77,14.95,22.36,26.87
61,Tech Mahindra Ltd,IT Services & Consulting,146429.87,"1,494.70",34.44,2.32,-6.66,-13.73,5.27,15.48,18.91
